Номер точки	X_WGS84	Y_WGS84	X_UTM36N	Y_UTM36N
Perim1	34.993914	54.910743	627822.00096076	6086679.2791162
Perim2	34.995005	54.910395	627893.03464473	6086642.5552057
Perim3	34.996095	54.910047	627964.00541727	6086605.8305771
Perim4	34.997186	54.909699	628035.0414746	6086569.1088853
Perim5	34.993702	54.910523	627809.10950816	6086654.4160361
Perim6	34.994793	54.910175	627880.14345652	6086617.6919188
Perim7	34.995883	54.909827	627951.11449309	6086580.9670835
Perim8	34.996974	54.909479	628022.15081481	6086544.2451849
Perim9	34.99368	54.9105	627807.77224539	6086651.8170151
Perim10	34.994771	54.910152	627878.80622148	6086615.0928764
Perim11	34.995861	54.909804	627949.77728575	6086578.3680197
Perim12	34.996952	54.909456	628020.8136352	6086541.6460996
Perim13	34.993468	54.91028	627794.88062625	6086626.953979
Perim14	34.994559	54.909932	627865.91486673	6086590.2296334
Perim15	34.995649	54.909584	627936.88619504	6086553.50457
Perim16	34.99674	54.909236	628007.92280888	6086516.7824431
