Номер точки	X_WGS84	Y_WGS84	X_UTM36N	Y_UTM36N	Высота, м
r1	34.99388639	54.91085702	627819.87	6086691.913	176.833
r2	34.99409946	54.910787	627833.749	6086684.513	177.001
r3	34.9943028	54.91072084	627846.992	6086677.523	177.13
r4	34.99450331	54.91065589	627860.05	6086670.664	177.201
r5	34.99470981	54.91059697	627873.473	6086664.486	177.213
r6	34.99490994	54.91052862	627886.518	6086657.247	177.214
r7	34.99511394	54.91046488	627899.796	6086650.528	177.287
r8	34.99531553	54.9104015	627912.918	6086643.845	177.355
r9	34.99552475	54.91033024	627926.555	6086636.3	177.489
r10	34.9957316	54.91026545	627940.019	6086629.469	177.545
r11	34.99593669	54.91019924	627953.375	6086622.478	177.588
r12	34.99614191	54.91013562	627966.731	6086615.775	177.722
r13	34.99634151	54.91007295	627979.724	6086609.168	177.678
r14	34.99655185	54.91000366	627993.426	6086601.844	177.763
r15	34.99675044	54.90994079	628006.355	6086595.212	177.743
r16	34.9969519	54.90987438	628019.479	6086588.192	177.779
r17	34.9971509	54.90980731	628032.448	6086581.094	177.525
r18	34.99736671	54.90974875	628046.467	6086574.974	177.434
r19	34.99756734	54.90968044	628059.544	6086567.741	177.337
r20	34.99744966	54.90956167	628052.378	6086554.312	177.021
r21	34.99725006	54.90962508	628039.382	6086561.002	177.111
r22	34.99704116	54.90969256	628025.778	6086568.127	177.253
r23	34.99684619	54.90975752	628013.074	6086574.998	177.396
r24	34.99664029	54.90982561	627999.66	6086582.196	177.478
r25	34.99643382	54.90988699	627986.231	6086588.648	177.623
r26	34.99622425	54.90995034	627972.597	6086595.312	177.07
r27	34.99601603	54.91001813	627959.035	6086602.474	177.113
r28	34.99581539	54.91008105	627945.975	6086609.107	176.921
r29	34.99560865	54.91015108	627932.501	6086616.521	176.934
r30	34.99541325	54.91021825	627919.763	6086623.636	177.189
r31	34.99520153	54.91028015	627905.996	6086630.136	177.107
r32	34.99500019	54.9103433	627892.89	6086636.794	177.062
r33	34.99479295	54.91040819	627879.401	6086643.635	176.896
r34	34.9945929	54.91047639	627866.362	6086650.857	176.937
r35	34.99438484	54.91054097	627852.821	6086657.662	176.882
r36	34.99417888	54.91060517	627839.416	6086664.428	176.886
r37	34.99398371	54.91066984	627826.701	6086671.267	176.794
r38	34.99376782	54.91073709	627812.65	6086678.354	176.581
r39	34.99366509	54.91061759	627806.444	6086664.872	176.452
r40	34.99386777	54.91055741	627819.626	6086658.546	176.552
r41	34.9940713	54.91049298	627832.876	6086651.75	176.557
r42	34.99427697	54.91042484	627846.275	6086644.545	176.429
r43	34.99448227	54.91035863	627859.644	6086637.553	176.411
r44	34.99468342	54.91029684	627872.733	6086631.047	176.493
r45	34.9948859	54.91022585	627885.937	6086623.518	176.554
r46	34.99508641	54.91015903	627899.001	6086616.451	176.635
r47	34.99529631	54.91009667	627912.653	6086609.896	176.715
r48	34.99550545	54.91003357	627926.259	6086603.259	176.606
r49	34.99570498	54.90996568	627939.264	6086596.07	176.764
