Точка	X_WGS_84	Y_WGS_84	X_UTM_36N	Y_UTM_36N
I"1	34.996993	54.908833	628025.4192	6086472.41
I"2	34.997092	54.908793	628031.8921	6086468.14
I"3	34.99719	54.908753	628038.3009	6086463.87
I"4	34.997289	54.908714	628044.7707	6086459.712
I"5	34.997387	54.908674	628051.1795	6086455.441
I"6	34.997485	54.908635	628057.5852	6086451.281
I"6k	34.997577	54.908598	628063.5999	6086447.333
I1	34.997796	54.909495	628074.7896	6086547.529
I'1	34.997395	54.909164	628050.1367	6086509.97
I2	34.997894	54.909456	628081.1952	6086543.369
I3	34.997993	54.909416	628087.668	6086539.1
I4	34.998091	54.909377	628094.0736	6086534.941
I5	34.99819	54.909337	628100.5465	6086530.672
I6	34.998288	54.909298	628106.9522	6086526.512
I6к	34.99838	54.909261	628112.9668	6086522.564
II"1	34.997597	54.90859	628064.9073	6086446.48
II"2	34.997695	54.908551	628071.313	6086442.32
II"3	34.997793	54.908511	628077.7219	6086438.049
II"4	34.997892	54.908471	628084.1949	6086433.78
II"5	34.99799	54.908432	628090.6007	6086429.62
II"6k	34.998181	54.908355	628103.0885	6086421.403
II"6	34.998089	54.908392	628097.0737	6086425.351
II1	34.998399	54.909253	628114.2101	6086521.709
II'1	34.997998	54.908921	628089.5605	6086484.038
II2	34.998498	54.909213	628120.6831	6086517.44
II3	34.998596	54.909174	628127.0887	6086513.28
II4	34.998694	54.909134	628133.4976	6086509.009
II5	34.998793	54.909095	628139.9674	6086504.852
II6	34.998891	54.909055	628146.3762	6086500.581
II6k	34.998983	54.909018	628152.391	6086496.633
II'6k	34.998582	54.908687	628127.7384	6086459.074
III"1	34.998628	54.908176	628132.3103	6086402.307
III"2	34.998726	54.908136	628138.7193	6086398.036
III"3	34.998825	54.908096	628145.1924	6086393.767
III"4	34.998923	54.908057	628151.5983	6086389.607
III"5	34.999022	54.908017	628158.0714	6086385.339
III"6	35.000015	54.908604	628219.8583	6086452.463
III"6	34.99912	54.907978	628164.4773	6086381.179
III"6k	34.999212	54.907941	628170.4922	6086377.231
III1	34.999431	54.908838	628181.6798	6086477.427
III'1	34.999029	54.908507	628156.9632	6086439.866
III2	34.999529	54.908799	628188.0856	6086473.268
III3	34.999627	54.908759	628194.4946	6086468.997
III4	34.999726	54.90872	628200.9645	6086464.839
III5	34.999824	54.90868	628207.3735	6086460.569
III6	34.999923	54.908641	628213.8434	6086456.411
IV"1	34.999231	54.907933	628171.7356	6086376.376
IV"2	34.99933	54.907893	628178.2088	6086372.107
IV"3	34.999428	54.907854	628184.6147	6086367.947
IV"4	34.999527	54.907814	628191.0879	6086363.679
IV"5	34.999625	54.907775	628197.4938	6086359.519
IV"6	34.999723	54.907735	628203.903	6086355.248
IV"6k	34.999815	54.907698	628209.9179	6086351.3
IV1	35.000034	54.908596	628221.1016	6086451.608
IV'1	34.999633	54.908264	628196.4524	6086413.937
IV2	35.000132	54.908556	628227.5106	6086447.337
IV3	35.000231	54.908517	628233.9806	6086443.18
IV4	35.000329	54.908477	628240.3896	6086438.909
IV5	35.000428	54.908438	628246.8596	6086434.751
IV6	35.000526	54.908398	628253.2687	6086430.481
IV6k	35.000618	54.908361	628259.2836	6086426.533
IV'6k	35.000217	54.90803	628234.6315	6086388.973
